| Type   |   Precision |   Recall |     F1 |   Reference |   Predicted |   Correct |
|--------|-------------|----------|--------|-------------|-------------|-----------|
| ALL    |       96.86 |    97.18 |  97.02 |        3331 |        3342 |      3237 |
| LOC    |       96.52 |    97.98 |  97.24 |         792 |         804 |       776 |
| MISC   |       85.00 |    95.33 |  89.87 |         321 |         360 |       306 |
| ORG    |       98.66 |    95.01 |  96.80 |        1083 |        1043 |      1029 |
| PER    |       99.21 |    99.21 |  99.21 |        1135 |        1135 |      1126 |

|   Count | Error   | Type   | Tokens                                                                                                                                          |
|---------|---------|--------|-------------------------------------------------------------------------------------------------------------------------------------------------|
|       5 | FP      | LOC    | Tasmania                                                                                                                                        |
|       5 | FP      | MISC   | National Hockey League                                                                                                                          |
|       5 | FN      | ORG    | Tasmania                                                                                                                                        |
|       5 | FN      | ORG    | National Hockey League                                                                                                                          |
|       4 | FN      | ORG    | Barcelona                                                                                                                                       |
|       3 | FP      | MISC   | Wallaby                                                                                                                                         |
|       3 | FN      | ORG    | Wallaby                                                                                                                                         |
|       3 | FN      | PER    | Charlton                                                                                                                                        |
|       3 | FN      | MISC   | AMERICAN                                                                                                                                        |
|       3 | FN      | ORG    | Real Madrid                                                                                                                                     |
|       3 | FN      | ORG    | NFL                                                                                                                                             |
|       2 | FP      | MISC   | finals                                                                                                                                          |
|       2 | FP      | MISC   | Barbarians                                                                                                                                      |
|       2 | FP      | LOC    | Victoria                                                                                                                                        |
|       2 | FP      | MISC   | CUP                                                                                                                                             |
|       2 | FP      | LOC    | United States                                                                                                                                   |
|       2 | FP      | MISC   | NHL                                                                                                                                             |
|       2 | FP      | MISC   | Group A                                                                                                                                         |
|       2 | FP      | LOC    | Austria                                                                                                                                         |
|       2 | FP      | MISC   | NFL                                                                                                                                             |
|       2 | FP      | MISC   | World Cup                                                                                                                                       |
|       2 | FP      | MISC   | National Football League                                                                                                                        |
|       2 | FN      | LOC    | England                                                                                                                                         |
|       2 | FN      | ORG    | Victoria                                                                                                                                        |
|       2 | FN      | LOC    | Ireland                                                                                                                                         |
|       2 | FN      | ORG    | Barbarians                                                                                                                                      |
|       2 | FN      | ORG    | NHL                                                                                                                                             |
|       2 | FN      | ORG    | National Football League                                                                                                                        |
|       1 | FP      | ORG    | Pontypridd                                                                                                                                      |
|       1 | FP      | LOC    | Canada                                                                                                                                          |
|       1 | FP      | PER    | his wife                                                                                                                                        |
|       1 | FP      | ORG    | Mercedes                                                                                                                                        |
|       1 | FP      | MISC   | NBA                                                                                                                                             |
|       1 | FP      | PER    | 1996-12-07 Jack Charlton                                                                                                                        |
|       1 | FP      | LOC    | gone Indonesia                                                                                                                                  |
|       1 | FP      | MISC   | European championship                                                                                                                           |
|       1 | FP      | LOC    | MANCHESTER UNITED                                                                                                                               |
|       1 | FP      | LOC    | managed Ireland                                                                                                                                 |
|       1 | FP      | PER    | honour had been made in recognition of Charlton                                                                                                 |
|       1 | FP      | PER    | , Bobby                                                                                                                                         |
|       1 | FP      | LOC    | a well-fancied England                                                                                                                          |
|       1 | FP      | ORG    | Yorkshire                                                                                                                                       |
|       1 | FP      | ORG    | Real Madrid Barcelona                                                                                                                           |
|       1 | FP      | MISC   | 1988                                                                                                                                            |
|       1 | FP      | MISC   | 's achievements as the                                                                                                                          |
|       1 | FP      | MISC   | AMERICAN FOOTBALL                                                                                                                               |
|       1 | FP      | MISC   | German                                                                                                                                          |
|       1 | FP      | ORG    | Real Madrid-Barcelona                                                                                                                           |
|       1 | FP      | LOC    | Germany                                                                                                                                         |
|       1 | FP      | MISC   | ENGLISH                                                                                                                                         |
|       1 | FP      | MISC   | PGA                                                                                                                                             |
|       1 | FP      | MISC   | NFL AMERICAN                                                                                                                                    |
|       1 | FP      | ORG    | Barcelona Barcelona                                                                                                                             |
|       1 | FP      | LOC    | Italy                                                                                                                                           |
|       1 | FP      | MISC   | U.S. Amateur                                                                                                                                    |
|       1 | FP      | PER    | " Charlton                                                                                                                                      |
|       1 | FP      | MISC   | BARBARIANS                                                                                                                                      |
|       1 | FP      | ORG    | Barcelona 5-1 Draw Real Madrid                                                                                                                  |
|       1 | FP      | MISC   | LPGA Tours                                                                                                                                      |
|       1 | FP      | MISC   | me                                                                                                                                              |
|       1 | FP      | MISC   | English                                                                                                                                         |
|       1 | FP      | PER    | Sun Hong                                                                                                                                        |
|       1 | FP      | MISC   | F.A. Challenge Cup                                                                                                                              |
|       1 | FP      | LOC    | National                                                                                                                                        |
|       1 | FP      | MISC   | NCAA AMERICAN                                                                                                                                   |
|       1 | FP      | MISC   | SUPER G                                                                                                                                         |
|       1 | FP      | MISC   | Group C                                                                                                                                         |
|       1 | FP      | LOC    | Ireland                                                                                                                                         |
|       1 | FP      | MISC   | USA III                                                                                                                                         |
|       1 | FP      | LOC    | Britain                                                                                                                                         |
|       1 | FP      | MISC   | they formally received Irish                                                                                                                    |
|       1 | FP      | MISC   | successive                                                                                                                                      |
|       1 | FP      | LOC    | Switzerland                                                                                                                                     |
|       1 | FP      | PER    | he                                                                                                                                              |
|       1 | FP      | PER    | " It was the joy that we all had over the period , that I shared with people that I grew to love , that I treasure most , " he added . Charlton |
|       1 | FP      | ORG    | United Province                                                                                                                                 |
|       1 | FP      | MISC   | Super G                                                                                                                                         |
|       1 | FP      | LOC    | the people of Ireland                                                                                                                           |
|       1 | FP      | ORG    | Uttar Pradesh                                                                                                                                   |
|       1 | FP      | PER    | Hwang                                                                                                                                           |
|       1 | FP      | MISC   | WALLABY                                                                                                                                         |
|       1 | FP      | ORG    | the Republic                                                                                                                                    |
|       1 | FP      | ORG    | FC Cologne                                                                                                                                      |
|       1 | FP      | ORG    | Cincinnati                                                                                                                                      |
|       1 | FP      | LOC    | Santiago Bernabeu                                                                                                                               |
|       1 | FP      | MISC   | F.A. CUP                                                                                                                                        |
|       1 | FP      | MISC   | fact that                                                                                                                                       |
|       1 | FP      | MISC   | their own                                                                                                                                       |
|       1 | FP      | LOC    | Czech Republic                                                                                                                                  |
|       1 | FP      | MISC   | National Basketball Association                                                                                                                 |
|       1 | FP      | LOC    | team 1-0 in their group qualifier . The lanky former Leeds United defender did not make his England                                             |
|       1 | FP      | MISC   | Fair Play                                                                                                                                       |
|       1 | FP      | LOC    | Balkan                                                                                                                                          |
|       1 | FP      | ORG    | Dundee                                                                                                                                          |
|       1 | FP      | LOC    | OAKLAND                                                                                                                                         |
|       1 | FP      | MISC   | BRAZILIAN                                                                                                                                       |
|       1 | FP      | MISC   | British                                                                                                                                         |
|       1 | FP      | ORG    | Leicester                                                                                                                                       |
|       1 | FN      | MISC   | 1995 World Cup                                                                                                                                  |
|       1 | FN      | ORG    | German I                                                                                                                                        |
|       1 | FN      | ORG    | Czech Republic I                                                                                                                                |
|       1 | FN      | LOC    | Santiago Bernabeu stadium                                                                                                                       |
|       1 | FN      | PER    | CHARLTON                                                                                                                                        |
|       1 | FN      | ORG    | United States III                                                                                                                               |
|       1 | FN      | ORG    | PGA                                                                                                                                             |
|       1 | FN      | ORG    | BARBARIANS                                                                                                                                      |
|       1 | FN      | MISC   | BRAZILIAN CHAMPIONSHIP                                                                                                                          |
|       1 | FN      | ORG    | NBA                                                                                                                                             |
|       1 | FN      | MISC   | Super G                                                                                                                                         |
|       1 | FN      | LOC    | U.S.                                                                                                                                            |
|       1 | FN      | LOC    | Indonesia                                                                                                                                       |
|       1 | FN      | PER    | Hwang Sun Hong                                                                                                                                  |
|       1 | FN      | MISC   | Mercedes                                                                                                                                        |
|       1 | FN      | ORG    | 1. FC Cologne                                                                                                                                   |
|       1 | FN      | MISC   | 1993 World Cup                                                                                                                                  |
|       1 | FN      | PER    | Dundee                                                                                                                                          |
|       1 | FN      | ORG    | Germany III                                                                                                                                     |
|       1 | FN      | ORG    | MANCHESTER UNITED                                                                                                                               |
|       1 | FN      | LOC    | United Province                                                                                                                                 |
|       1 | FN      | MISC   | European                                                                                                                                        |
|       1 | FN      | MISC   | ENGLISH F.A. CUP                                                                                                                                |
|       1 | FN      | LOC    | Uttar Pradesh                                                                                                                                   |
|       1 | FN      | MISC   | Real Madrid-Barcelona                                                                                                                           |
|       1 | FN      | LOC    | SEATTLE                                                                                                                                         |
|       1 | FN      | ORG    | Britain I                                                                                                                                       |
|       1 | FN      | LOC    | National stadium                                                                                                                                |
|       1 | FN      | PER    | Bobby                                                                                                                                           |
|       1 | FN      | ORG    | Leeds United                                                                                                                                    |
|       1 | FN      | MISC   | IRISHMAN                                                                                                                                        |
|       1 | FN      | LOC    | Cincinnati                                                                                                                                      |
|       1 | FN      | ORG    | United States I                                                                                                                                 |
|       1 | FN      | ORG    | Austria I                                                                                                                                       |
|       1 | FN      | ORG    | Canada I                                                                                                                                        |
|       1 | FN      | ORG    | USA III                                                                                                                                         |
|       1 | FN      | ORG    | National Basketball Association                                                                                                                 |
|       1 | FN      | PER    | Jack Charlton                                                                                                                                   |
|       1 | FN      | LOC    | Republic of Ireland                                                                                                                             |
|       1 | FN      | LOC    | Leicester                                                                                                                                       |
|       1 | FN      | ORG    | NCAA                                                                                                                                            |
|       1 | FN      | ORG    | Switzerland I                                                                                                                                   |
|       1 | FN      | LOC    | Pontypridd                                                                                                                                      |
|       1 | FN      | ORG    | LPGA                                                                                                                                            |
|       1 | FN      | ORG    | Italy I                                                                                                                                         |
|       1 | FN      | ORG    | WALLABY                                                                                                                                         |
|       1 | FN      | ORG    | British rugby union                                                                                                                             |
|       1 | FN      | PER    | Dick Spring                                                                                                                                     |
|       1 | FN      | ORG    | Austria III                                                                                                                                     |
|       1 | FN      | MISC   | Irish                                                                                                                                           |
|       1 | FN      | LOC    | Yorkshire                                                                                                                                       |
|       1 | FN      | MISC   | English F.A. Challenge Cup                                                                                                                      |
|       1 | FN      | MISC   | Balkan                                                                                                                                          |
